[22Jul2024 00:41:59.773] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 has completed the challenge [Hot Tourist Destinations]
[22Jul2024 00:43:05.225] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 tried to swim in lava to escape Wither Skeleton
[22Jul2024 00:44:52.187] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 experienced kinetic energy
[22Jul2024 00:46:52.832] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:47:12.621] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 was slain by Bone Serpent
[22Jul2024 00:47:57.379] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 was slain by Bone Serpent
[22Jul2024 00:51:50.481] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 tried to swim in lava to escape Bone Serpent
[22Jul2024 00:55:15.480] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 burned to death
[22Jul2024 00:56:01.089] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 has made the advancement [Hot Stuff]
[22Jul2024 00:56:01.991] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 tried to swim in lava to escape Bone Serpent
[22Jul2024 00:57:59.576] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Floodwer013 was slain by Bone Serpent
[22Jul2024 00:58:30.925] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:58:33.130] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:25.473] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:25.572] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:25.672] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:25.774] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:25.874] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:25.973] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:26.072] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:26.173] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
[22Jul2024 00:59:26.274] [Server thread/ERROR] [net.minecraft.Util/]: Invalid entity rotation: NaN, discarding.
